# RA Dec
-3.141192926971108 -1.0869721719615895
-3.1041832635940985 -1.0901427590822568
-3.06676166169137 -1.0927453097217166
-3.029004410772251 -1.0947704575640056
-2.9909925752023696 -1.0962107725257626
-2.952810934539553 -1.0970608931017858
-2.9145467916152175 -1.097317624216957
-2.8762886883914494 -1.0969799964815679
-2.838125075825065 -1.096049284309066
-2.800142987125186 -1.0945289821109152
-2.762426763556766 -1.0924247395995923
-2.725056878344338 -1.0897442589674988
-2.6881088976596264 -1.0864971582360097
-2.651652608827515 -1.0826948062789676
-2.615751335651117 -1.0783501358485157
-2.5804614501006267 -1.0734774413390966
-2.545832079439757 -1.0680921680292068
-2.511904998925514 -1.0622106991857982
-2.478714693035002 -1.0558501467737706
-2.446288563021714 -1.0490281506669596
-2.414647255523956 -1.041762690294245
-2.3838050857874507 -1.034071911655377
-2.3537705295357747 -1.0259739716734104
-2.3245467592633613 -1.0174869009656047
-2.2961322033528617 -1.0086284853463674
-2.268521109569715 -0.999416165742432
-2.2417040978485687 -0.9898669557065589
-2.215668690610581 -0.9799973753558886
-2.190399811956718 -0.969823400321803
-2.1658802498529166 -0.959360424162753
-2.1420910777962003 -0.9486232326412343
-2.119012034406481 -0.93762598828231
-2.0966218609393046 -0.9263822236965504
-2.0748985978927585 -0.9149048422497328
-2.053819842732013 -0.9032061247825024
-2.033362971327662 -0.8912977412151467
-2.0135053260493425 -0.8791907660077886
-1.9942243736213963 -0.8668956965789428
-1.9754978358747817 -0.8544224739113435
-1.9573037964556477 -0.8417805046907565
-1.9396207864059927 -0.8289786844295656
-1.9224278513405846 -0.8160254211217403
-1.905704602725738 -0.8029286590592571
-1.8894312555346051 -0.7896959025126511
-1.8735886543211073 -0.7763342390408179
-1.8581582895283493 -0.7628503622482681
-1.8431223056324644 -0.7492505938528222
-1.828463502522755 -0.7355409049640265
-1.8141653313353159 -0.7217269365034349
-1.8002118857912 -0.7078140187231138
-1.786587889940881 -0.693807189799149
-1.7732786830844864 -0.6797112134932461
-1.7602702025202746 -0.6655305958883857
-1.7475489646716225 -0.6512696012144803
-1.735102045053534 -0.6369322667875581
-1.7229170574626722 -0.6225224170916236
-1.7109821327082249 -0.6080436770363233
-1.6992858971440215 -0.5934994844262432
-1.6878174512133988 -0.5788931016792775
-1.6765663481770692 -0.5642276268323242
-1.6655225731589436 -0.5495060038726738
-1.6546765226153757 -0.5347310324330891
-1.644018984308362 -0.5199053768878069
-1.6335411178424541 -0.5050315748856247
-1.6232344358078161 -0.49011204535498337
-1.6130907855575636 -0.4751490960145371
-1.6031023316357031 -0.4601449304211985
-1.5932615388623508 -0.4451016545861069
-1.5835611560751013 -0.43002128318739063
-1.5739942005191057 -0.41490574540704234
-1.5645539428734279 -0.39975689041769014
-1.5552338928972689 -0.38457649254356746
-1.5460277856767026 -0.3693662561185421
-1.536929568450156 -0.3541278200626987
-1.5279333879892838 -0.33886276219765415
-1.5190335785106637 -0.32357260331955645
-1.5102246500929568 -0.3082588110475357
-1.50150127757381 -0.29292280346429583
-1.4928582899005076 -0.2775659525644867
-1.4842906599085193 -0.26218958752555926
-1.475793494502229 -0.24679499781489292
-1.46736202521246 -0.23138343614617152
-1.4589915991058973 -0.2159561212972104
-1.4506776700218735 -0.20051424080073332
-1.4424157901126342 -0.18505895351894483
-1.4342016016636538 -0.1695913921121566
-1.4260308291711739 -0.15411266541117144
-1.4178992716546719 -0.1386238607026462
-1.4098027951825047 -0.12312604593620094
-1.4017373255894918 -0.10762027186164355
-1.393698841365652 -0.0921075741043189
-1.3856833666957917 -0.07658897518627722
-1.377686964630028 -0.06106548650067541
-1.3697057303656626 -0.04553811024658921
-1.3617357846211835 -0.030007841331207787
-1.3537732670833853 -0.014475669246221434
-1.3458143299088423 0.001057420074925843
-1.3378551312611084 0.01659044241233895
-1.3298918288651236 0.0321224134210154
-1.3219205735603652 0.04765234679175016
-1.3139375028342744 0.06317925240511121
-1.3059387343174265 0.07870213447197119
-1.2979203592218047 0.09421998965400123
-1.2898784357033808 0.10973180515743926
-1.2818089821299707 0.12523655679330187
-1.2737079702350815 0.14073320699704214
-1.2655713181381456 0.1562207028004474
-1.2573948832111586 0.17169797374832418
-1.2491744547713637 0.18716392975223747
-1.2409057465791276 0.20261745887324822
-1.232584389119719 0.21805742502522762
-1.2242059216471435 0.23348266558992173
-1.2157657839676959 0.24889198893448403
-1.2072593079402816 0.2642841718216973
-1.1986817086700685 0.2796579567025501
-1.1900280753714294 0.2950120488802386
-1.18129336187566 0.3103451135339994
-1.1724723767584486 0.32565577259047096
-1.1635597730616727 0.34094260142950145
-1.1545500375838116 0.3562041254104886
-1.1454374797130464 0.37143881620443386
-1.1362162197771184 0.38664508791591945
-1.1268801768842227 0.4018212929781932
-1.1174230562296914 0.4169657178034197
-1.107838335844029 0.43207657816899586
-1.0981192527591068 0.44715201431957036
-1.0882587885710873 0.462190085763091
-1.078249654381035 0.47718876573782926
-1.068084275097297 0.49214593532587797
-1.0577547730878554 0.5070593771871345
-1.0472529511759714 0.5219267688862371
-1.036570274978949 0.5367456757833728
-1.0256978545979227 0.5515135434582954
-1.0146264256764466 0.5662276896353584
-1.0033463298578027 0.5808852955758678
-0.9918474946856565 0.5954833969026716
-0.9801194130104 0.6100188738206546
-0.9681511219848863 0.6244884406957928
-0.9559311817587072 0.6388886349546866
-0.9434476540104842 0.6532158052661914
-0.9306880804935762 0.66746609896696
-0.9176394618129842 0.6816354486936219
-0.9042882367010453 0.6957195581860753
-0.8906202621177771 0.7097138872292139
-0.876620794569646 0.7236136357046123
-0.8622744731192491 0.7374137267295475
-0.847565304649224 0.7511087888686152
-0.83247665204799 0.7646931374135547
-0.8169912261037681 0.7781607547401894
-0.8010910820280478 0.7915052697682406
-0.7847576216810965 0.8047199365707725
-0.7679716027407464 0.8177976122059969
-0.7507131562415846 0.8307307338758081
-0.7329618141139636 0.8435112955537292
-0.7146965485688882 0.8561308242707539
-0.6958958254023456 0.8685803563019181
-0.6765376735254922 0.8808504135601822
-0.656599773257054 0.8929309805782625
-0.6360595661301286 0.9048114825440522
-0.6148943891517865 0.9164807649516167
-0.5930816365907219 0.9279270755373563
-0.5705989524301088 0.9391380492890687
-0.5474244565789327 0.9501006974427273
-0.5235370077478555 0.9608014015150136
-0.4989165055222652 0.9712259135547686
-0.47354423355769476 0.9813593639274711
-0.4474032449307795 0.991186278065448
-0.42047878945271794 1.000690603712186
-0.3927587811480887 1.0098557502488101
-0.36423430208942525 1.0186646416990115
-0.33490013634873317 1.0270997849479744
-0.304755325005883 1.0351433545623676
-0.2738037300097612 1.042777295343703
-0.24205459134656193 1.049983443369596
-0.2095230586202436 1.0567436657647313
-0.17623067505085924 1.0630400187910318
-0.14220578936786332 1.068854923060964
-0.10748386948463681 1.0741713537792268
-0.07210769157091637 1.078973042942716
-0.03612737954712698 1.0832446894302343
0.0003997266186848991 1.0869721719615895
0.03740938999569603 1.090142759082257
0.07483099189842414 1.0927453097217166
0.11258824281754197 1.0947704575640056
0.15060007838742404 1.0962107725257626
0.18878171905024235 1.0970608931017858
0.22704586197457774 1.0973176242169573
0.2653039651983423 1.0969799964815679
0.30346757776472943 1.096049284309066
0.3414496664646074 1.0945289821109154
0.37916589003302986 1.0924247395995923
0.4165357752454535 1.0897442589674988
0.45348375593016566 1.0864971582360095
0.4899400447622793 1.0826948062789676
0.5258413179386768 1.0783501358485155
0.5611312034891669 1.0734774413390966
0.5957605741500368 1.068092168029207
0.62968765466428 1.0622106991857982
0.6628779605547938 1.0558501467737706
0.6953040905680802 1.0490281506669594
0.7269453980658364 1.041762690294245
0.7577875678023432 1.0340719116553774
0.7878221240540186 1.0259739716734102
0.8170458943264323 1.0174869009656047
0.8454604502369318 1.0086284853463672
0.8730715440200781 0.9994161657424322
0.8998885557412265 0.9898669557065588
0.925923962979211 0.9799973753558885
0.9511928416330757 0.9698234003218026
0.9757124037368771 0.9593604241627532
0.9995015757935916 0.9486232326412345
1.0225806191833113 0.9376259882823097
1.0449707926504876 0.9263822236965507
1.0666940556970357 0.9149048422497321
1.0877728108577818 0.9032061247825027
1.108229682262133 0.8912977412151467
1.128087327540451 0.8791907660077884
1.147368279968398 0.8668956965789424
