,obsHistID,filter,expMJD,fieldID,fieldRA,fieldDec,fiveSigmaDepth
0,127633,g,59753.208268,1000,5.718053,-0.674641,24.241311
1,127670,g,59753.225609,1000,5.718053,-0.674641,24.160844
2,136947,z,59769.276675,1000,5.718053,-0.674641,23.21587
3,136993,z,59769.299544,1000,5.718053,-0.674641,23.36435
4,137990,y,59770.268672,1000,5.718053,-0.674641,21.767917
5,141215,y,59773.276647,1000,5.718053,-0.674641,21.812779
6,141222,y,59773.279951,1000,5.718053,-0.674641,21.839962
7,141392,y,59773.357515,1000,5.718053,-0.674641,21.876416
8,145484,y,59777.305047,1000,5.718053,-0.674641,21.064121
9,145487,y,59777.317169,1000,5.718053,-0.674641,21.145411
10,145520,y,59777.332157,1000,5.718053,-0.674641,21.072341
11,145538,y,59777.340344,1000,5.718053,-0.674641,21.073982
12,145756,y,59777.438488,1000,5.718053,-0.674641,21.237192
13,146825,y,59778.441222,1000,5.718053,-0.674641,20.909705
14,147453,z,59779.248287,1000,5.718053,-0.674641,22.534023
15,147489,z,59779.265844,1000,5.718053,-0.674641,22.527325
16,159085,u,59791.108313,1000,5.718053,-0.674641,23.049245
17,159985,r,59793.117837,1000,5.718053,-0.674641,23.857941
18,160024,r,59793.1384,1000,5.718053,-0.674641,24.091621
19,160178,i,59793.255909,1000,5.718053,-0.674641,23.492241
20,160228,i,59793.282932,1000,5.718053,-0.674641,23.431922
21,165456,z,59801.193545,1000,5.718053,-0.674641,22.185541
22,165490,z,59801.209276,1000,5.718053,-0.674641,22.068655
23,169363,y,59805.135807,1000,5.718053,-0.674641,21.98615
24,172142,g,59808.070087,1000,5.718053,-0.674641,24.651557
25,172175,g,59808.08544,1000,5.718053,-0.674641,24.763804
26,173301,r,59809.187077,1000,5.718053,-0.674641,24.473231
27,173343,r,59809.207529,1000,5.718053,-0.674641,24.476627
28,176998,i,59813.162779,1000,5.718053,-0.674641,23.812015
29,177040,i,59813.182313,1000,5.718053,-0.674641,23.818409
30,178501,u,59818.043509,1000,5.718053,-0.674641,23.204968
31,181716,r,59821.199242,1000,5.718053,-0.674641,24.430987
32,181765,r,59821.224506,1000,5.718053,-0.674641,24.467402
33,184579,i,59824.219938,1000,5.718053,-0.674641,23.683771
34,184624,i,59824.242865,1000,5.718053,-0.674641,23.852036
35,185076,z,59825.01714,1000,5.718053,-0.674641,22.943985
36,185103,z,59825.029388,1000,5.718053,-0.674641,22.711492
